"food_id","food_name","portion_size","calorie","protein_gr","carbohydrate_gr","fat_gr"
"27420120",Pork and watercress with soy-based sauce,Per 100g,190.0,14.88,3.35,12.68
"27420150",Kung Pao pork,Per 100g,219.0,16.89,4.55,14.76
"27420160",Moo Shu pork,Per 100g,153.0,10.41,4.01,10.7
"27420170",Pork and onions with soy-based sauce (Includes: Pork Scallion; Onion Pork),Per 100g,149.0,11.06,5.43,9.14
"27420200",Pork hash (Includes: no potatoes,Per 100g,186.0,12.94,1.96,13.66
"27420250",Ham and vegetables including carrots broccoli,Per 100g,115.0,7.45,2.59,8.28
"27420270",Ham and vegetables excluding carrots,Per 100g,120.0,7.56,5.12,7.83
"27420350",Pork and vegetables excluding carrots,Per 100g,124.0,10.07,5.52,7.03
"27420390",Pork chow mein or chop suey,Per 100g,98.0,10.34,3.85,4.3
"27420410",Pork and vegetables excluding  carrots,Per 100g,118.0,7.81,6.44,7.14
"27420450",Sausage and vegetables including  carrots,Per 100g,113.0,5.56,4.94,8.34
"27420460",Sausage and vegetables,Per 100g,120.0,5.62,6.94,8.34
"27420470",Sausage and peppers,Per 100g,247.0,13.99,3.26,19.87
"27420520",Pork shish kabob with vegetables,Per 100g,124.0,13.87,5.06,5.17
"27430610",Lamb shish kabob with vegetables,Per 100g,162.0,12.02,5.06,10.28
"27440110",Chicken or turkey and vegetables including carrots,Per 100g,118.0,9.66,2.88,7.78
"27440120",Chicken or turkey and vegetables excluding carrots,Per 100g,123.0,8.72,5.08,7.96
"27440130",Chicken or turkey shish kabob with vegetables,Per 100g,104.0,13.04,5.06,3.69
"27441120",Chicken or turkey creole,Per 100g,103.0,13.8,2.99,4.22
"27443110",Chicken or turkey a la king with vegetables including carrots,Per 100g,187.0,9.41,6.76,13.8
"27443120",Chicken or turkey a la king with vegetables excluding carrorts,Per 100g,181.0,9.57,6.31,13.34
"27443150",Chicken or turkey divan (Includes: breaded chicken or turkey and broccoli in cheese sauce),Per 100g,140.0,15.51,4.01,7.26
"27445150",General Tso chicken (Includes: fried chicken with vegetables in spicy soy sauce),Per 100g,295.0,12.9,23.99,16.36
"27445180",Moo Goo Gai Pan (Includes: chicken with Asian vegetables in sauce),Per 100g,69.0,7.11,4.87,2.44
"27445220",Kung pao chicken (Includes: cashew chicken),Per 100g,129.0,9.76,6.87,6.98
"27445250",Almond chicken,Per 100g,195.0,15.66,4.46,13.16
"27446100",Chicken or turkey chow mein or chop suey,Per 100g,83.0,9.78,3.84,3.23
"27446200",Chicken or turkey salad,Per 100g,235.0,13.92,2.88,18.76
"27446205",Chicken or turkey salad with nuts and/or fruits (Includes: made with any dressing),Per 100g,235.0,12.51,6.11,17.91
"27446220",Chicken or turkey salad with egg (Includes: made with any dressing),Per 100g,228.0,13.81,2.73,18.06
"27446300",Chicken or turkey garden salad,Per 100g,64.0,10.1,3.04,1.33
"27446315",Chicken or turkey garden salad with bacon and cheese,Per 100g,106.0,10.95,3.0,5.61
"27446330",Chicken or turkey garden salad with cheese,Per 100g,93.0,10.26,3.02,4.52
